Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
14 SEP 2021,"7 Balsam Street, REDLAND BAY QLD 4165",700m²,5,2,2,680000,https://www.domain.com.au/7-balsam-street-redland-bay-qld-4165-2017205644
14 SEP 2021,"9 Rustic Court, REDLAND BAY QLD 4165",741m²,4,2,3,846300,https://www.domain.com.au/9-rustic-court-redland-bay-qld-4165-2017240999
13 SEP 2021,"58 Pitt Street, REDLAND BAY QLD 4165",710m²,4,2,3,835000,https://www.domain.com.au/58-pitt-street-redland-bay-qld-4165-2017156847
13 SEP 2021,"35 Pinelands Circuit, REDLAND BAY QLD 4165",700m²,4,3,2,835000,https://www.domain.com.au/35-pinelands-circuit-redland-bay-qld-4165-2017224791
13 SEP 2021,"137B Main Street, REDLAND BAY QLD 4165",385m²,4,2,2,630000,https://www.domain.com.au/137b-main-street-redland-bay-qld-4165-2017232381
12 SEP 2021,"12 Lochie Drive, REDLAND BAY QLD 4165",420m²,4,2,2,707717,https://www.domain.com.au/12-lochie-drive-redland-bay-qld-4165-2017235437
10 SEP 2021,"59 Main Street, REDLAND BAY QLD 4165",492m²,3,2,2,587500,https://www.domain.com.au/59-main-street-redland-bay-qld-4165-2017200032
10 SEP 2021,"6 Silky Place, REDLAND BAY QLD 4165",700m²,4,2,2,769000,https://www.domain.com.au/6-silky-place-redland-bay-qld-4165-2017207665
10 SEP 2021,"5/20 Salisbury Street, REDLAND BAY QLD 4165",N/A,3,2,2,525000,https://www.domain.com.au/5-20-salisbury-street-redland-bay-qld-4165-2016949397
08 SEP 2021,"7 Club Crescent, REDLAND BAY QLD 4165",715m²,4,2,2,600000,https://www.domain.com.au/7-club-crescent-redland-bay-qld-4165-2017282890
08 SEP 2021,"47 Portland Parade, REDLAND BAY QLD 4165",600m²,4,2,2,590000,https://www.domain.com.au/47-portland-parade-redland-bay-qld-4165-2017196221
06 SEP 2021,"8 Cane Street, REDLAND BAY QLD 4165",N/A,4,4,2,1277000,https://www.domain.com.au/8-cane-street-redland-bay-qld-4165-2017177163
06 SEP 2021,"4 Myer Street, REDLAND BAY QLD 4165",650m²,5,3,2,770000,https://www.domain.com.au/4-myer-street-redland-bay-qld-4165-2017015741
05 SEP 2021,"20 Pear Street, REDLAND BAY QLD 4165","1,285m²",4,3,2,820500,https://www.domain.com.au/20-pear-street-redland-bay-qld-4165-2016984889
03 SEP 2021,"14/143 Esplanade, REDLAND BAY QLD 4165",N/A,3,2,2,699000,https://www.domain.com.au/14-143-esplanade-redland-bay-qld-4165-2016147902
02 SEP 2021,"20/161-165 Esplanade, REDLAND BAY QLD 4165",N/A,3,2,2,870000,https://www.domain.com.au/20-161-165-esplanade-redland-bay-qld-4165-2017096172
01 SEP 2021,"49/20 Salisbury Street, REDLAND BAY QLD 4165",N/A,3,2,1,476000,https://www.domain.com.au/49-20-salisbury-street-redland-bay-qld-4165-2017099458
01 SEP 2021,"6 Butler Place, REDLAND BAY QLD 4165",834m²,5,2,2,835000,https://www.domain.com.au/6-butler-place-redland-bay-qld-4165-2017182733
30 AUG 2021,"15 Scott Street, REDLAND BAY QLD 4165",650m²,5,3,2,851200,https://www.domain.com.au/15-scott-street-redland-bay-qld-4165-2017212137
27 AUG 2021,"10/152-158 Broadwater Terrace, REDLAND BAY QLD 4165",135m²,3,2,1,470000,https://www.domain.com.au/10-152-158-broadwater-terrace-redland-bay-qld-4165-2017158612
27 AUG 2021,"4 Ellabay Crescent, REDLAND BAY QLD 4165",420m²,4,2,2,603000,https://www.domain.com.au/4-ellabay-crescent-redland-bay-qld-4165-2017154516
27 AUG 2021,"1 Omac Street, REDLAND BAY QLD 4165",721m²,4,2,4,653000,https://www.domain.com.au/1-omac-street-redland-bay-qld-4165-2017166435
26 AUG 2021,"8 Garrett Place, REDLAND BAY QLD 4165",894m²,5,2,2,850000,https://www.domain.com.au/8-garrett-place-redland-bay-qld-4165-2017154517
25 AUG 2021,"26 Muriel Street, REDLAND BAY QLD 4165","3,144m²",4,2,4,1150000,https://www.domain.com.au/26-muriel-street-redland-bay-qld-4165-2017188005
23 AUG 2021,"6 Shanahan Street, REDLAND BAY QLD 4165",500m²,3,1,2,505000,https://www.domain.com.au/6-shanahan-street-redland-bay-qld-4165-2017163011
20 AUG 2021,"7 Hilary Avenue, REDLAND BAY QLD 4165",740m²,4,2,2,820000,https://www.domain.com.au/7-hilary-avenue-redland-bay-qld-4165-2017182319
20 AUG 2021,"41-43 Boundary Street, REDLAND BAY QLD 4165","3,507m²",4,2,6,1320000,https://www.domain.com.au/41-43-boundary-street-redland-bay-qld-4165-2017153964
19 AUG 2021,"7 Junee Street, REDLAND BAY QLD 4165",701m²,4,2,3,623000,https://www.domain.com.au/7-junee-street-redland-bay-qld-4165-2017095845
19 AUG 2021,"3 Tigerwood Place, REDLAND BAY QLD 4165",465m²,4,2,2,599950,https://www.domain.com.au/3-tigerwood-place-redland-bay-qld-4165-2016954648
17 AUG 2021,"15 Caswell Crescent, REDLAND BAY QLD 4165",637m²,5,2,2,760000,https://www.domain.com.au/15-caswell-crescent-redland-bay-qld-4165-2017103461
16 AUG 2021,"46 Spinnaker Circuit, REDLAND BAY QLD 4165",465m²,4,2,2,560000,https://www.domain.com.au/46-spinnaker-circuit-redland-bay-qld-4165-2017153407
16 AUG 2021,"23/152 Broadwater Terrace, REDLAND BAY QLD 4165",N/A,3,2,1,499000,https://www.domain.com.au/23-152-broadwater-terrace-redland-bay-qld-4165-2016756332
15 AUG 2021,"47 Denham Boulevard, REDLAND BAY QLD 4165",787m²,4,2,2,960000,https://www.domain.com.au/47-denham-boulevard-redland-bay-qld-4165-2017185139
12 AUG 2021,"House 4/20 Salisbury Street, REDLAND BAY QLD 4165",N/A,3,2,2,555000,https://www.domain.com.au/house-4-20-salisbury-street-redland-bay-qld-4165-2017176368
07 AUG 2021,"6 Panorama Court, REDLAND BAY QLD 4165",700m²,4,2,2,838000,https://www.domain.com.au/6-panorama-court-redland-bay-qld-4165-2017059090
06 AUG 2021,"23 Maree Place, REDLAND BAY QLD 4165",719m²,4,2,2,860000,https://www.domain.com.au/23-maree-place-redland-bay-qld-4165-2017154812
06 AUG 2021,"20/75-99 Gordon Road, REDLAND BAY QLD 4165",N/A,3,2,1,392500,https://www.domain.com.au/20-75-99-gordon-road-redland-bay-qld-4165-2016912053
04 AUG 2021,"17/152-158 Broadwater Terrace, REDLAND BAY QLD 4165",135m²,3,2,1,450000,https://www.domain.com.au/17-152-158-broadwater-terrace-redland-bay-qld-4165-2015956686
02 AUG 2021,"9 Garrett Place, REDLAND BAY QLD 4165",800m²,6,2,3,915000,https://www.domain.com.au/9-garrett-place-redland-bay-qld-4165-2017106720
01 AUG 2021,"44 Habitat Drive, REDLAND BAY QLD 4165",700m²,5,2,2,780000,https://www.domain.com.au/44-habitat-drive-redland-bay-qld-4165-2017152497
